Customer_Age,Income,Total_Spending,Recency,Customer_Tenure,Family_Size,Total_Children,Purchase_Frequency,Accepted_Campaigns,NumWebPurchases,NumStorePurchases,NumCatalogPurchases
0.37864077669902907,0.08483222445468436,0.6396825396825397,0.5858585858585859,0.948497854077254,0.0,0.0,0.6875,0.2,0.2962962962962963,0.3076923076923077,0.3571428571428571
0.40776699029126207,0.06709517908490441,0.00873015873015873,0.38383838383838387,0.16165951359084474,0.6666666666666666,0.6666666666666666,0.125,0.0,0.037037037037037035,0.15384615384615385,0.03571428571428571
0.30097087378640774,0.10509733267562592,0.305952380952381,0.26262626262626265,0.44635193133047224,0.0,0.0,0.625,0.0,0.2962962962962963,0.7692307692307693,0.07142857142857142
0.11650485436893204,0.03747127543101893,0.01904761904761905,0.26262626262626265,0.1988555078683838,0.33333333333333337,0.3333333333333333,0.1875,0.0,0.07407407407407407,0.3076923076923077,0.0
0.14563106796116504,0.08506532959563025,0.16547619047619047,0.9494949494949496,0.23032904148784006,0.33333333333333337,0.3333333333333333,0.4375,0.0,0.18518518518518517,0.46153846153846156,0.10714285714285714
0.2815533980582524,0.09141180504589916,0.28214285714285714,0.16161616161616163,0.4191702432045785,0.33333333333333337,0.3333333333333333,0.625,0.0,0.2222222222222222,0.7692307692307693,0.14285714285714285
0.24271844660194175,0.08106795240444194,0.23214285714285715,0.3434343434343435,0.8483547925608015,0.33333333333333337,0.3333333333333333,0.53125,0.0,0.25925925925925924,0.5384615384615385,0.10714285714285714
0.10679611650485438,0.04770985478301671,0.06507936507936507,0.32323232323232326,0.5965665236051505,0.33333333333333337,0.3333333333333333,0.25,0.0,0.14814814814814814,0.3076923076923077,0.0
0.21359223300970875,0.0430432402516934,0.01626984126984127,0.19191919191919193,0.5550786838340489,0.33333333333333337,0.3333333333333333,0.15625,0.2,0.1111111111111111,0.15384615384615385,0.0
0.44660194174757273,0.005892296401458184,0.01746031746031746,0.686868686868687,0.1545064377682408,0.6666666666666666,0.6666666666666666,0.03125,0.2,0.037037037037037035,0.0,0.0
0.1262135922330097,0.07467109616564602,0.005555555555555556,0.11111111111111112,0.3233190271816886,0.33333333333333337,0.3333333333333333,0.09375,0.0,0.037037037037037035,0.15384615384615385,0.0
